所属模块,用例标题,前置条件,步骤,预期结果,优先级
业务流程内任务支持版本回滚,验证子任务上游依赖由业务流程修改为普通任务，版本回滚正常,"此项目存在用户xiaoqi_1（项目管理员&访客&运维&数据开发）
存在业务流程A，包含子任务A_1-A_2（sql内容：select 1;）-A_3，B-A_4（存在输出参数：shuchu_1、常量、1）
存在业务流程B，包含子任务B_1-B_2······-B_15
存在普通任务D（存在输出参数：shuchu_1、常量、1）
存在普通任务C
任务均已提交","1. 进入业务流程A
修改A_4上游依赖为D
点击保存任务、保存业务流程
2. 进入任务A_4-基础属性-历史版本，点击最近的一个版本和当前版本，点击版本对比
3. 点击右下角回滚至此版本
4. 点击确认","1. 依赖修改成功 点击任务保存后，所属业务流程新增一条保存版本记录，所属任务新增一条保存记录 点击业务流程保存后，所属业务流程新增一条保存版本记录，下属所有任务新增一条保存记录
2. 弹出版本对比弹窗
调度配置：左——D，右——B
3. 弹出确认弹窗
4. 开始执行回滚操作，结束后提示回滚成功，当前任务上游依赖被历史版本覆盖，生成一个新的版本号
同时任务A_4自动保存
业务流程新增一条版本记录，展示最新子任务依赖情况
子任务上游配置信息添加普通任务，画布不做修改",2
业务流程内任务支持版本回滚,验证子任务上游依赖由业务流程修改为子任务，版本回滚正常,"此项目存在用户xiaoqi_1（项目管理员&访客&运维&数据开发）
存在业务流程A，包含子任务A_1-A_2（sql内容：select 1;）-A_3，B-A_4（存在输出参数：shuchu_1、常量、1）
存在业务流程B，包含子任务B_1-B_2······-B_15
存在普通任务D（存在输出参数：shuchu_1、常量、1）
存在普通任务C
任务均已提交","1. 进入业务流程A
修改A_4上游依赖为A_2
点击保存任务、保存业务流程
2. 进入任务A_4-基础属性-历史版本，点击最近的一个版本和当前版本，点击版本对比
3. 点击右下角回滚至此版本
4. 点击确认","1. 依赖修改成功 点击任务保存后，所属业务流程新增一条保存版本记录，所属任务新增一条保存记录 点击业务流程保存后，所属业务流程新增一条保存版本记录，下属所有任务新增一条保存记录
2. 弹出版本对比弹窗
调度配置：左——A_2，右——B
3. 弹出确认弹窗
4. 开始执行回滚操作，结束后提示回滚成功，当前任务上游依赖被历史版本覆盖，生成一个新的版本号
同时任务A_4自动保存
业务流程新增一条版本记录，展示最新子任务依赖情况",1
业务流程内任务支持版本回滚,验证子任务上游依赖由普通任务修改为其他业务流程内子任务，版本回滚正常,"此项目存在用户xiaoqi_1（项目管理员&访客&运维&数据开发）
存在业务流程A，包含子任务A_1-A_2（sql内容：select 1;）-A_3，C-A_4（存在输出参数：shuchu_1、常量、1）
存在业务流程B，包含子任务B_1-B_2······-B_15
存在普通任务D（存在输出参数：shuchu_1、常量、1）
存在普通任务C
任务均已提交","1. 进入业务流程A
修改A_4上游依赖为B_4、B_6
点击保存任务、保存业务流程
2. 进入任务A_4-基础属性-历史版本，点击最近的一个版本和当前版本，点击版本对比
3. 点击右下角回滚至此版本
4. 点击确认","1. 依赖修改成功 点击任务保存后，所属业务流程新增一条保存版本记录，所属任务新增一条保存记录 点击业务流程保存后，所属业务流程新增一条保存版本记录，下属所有任务新增一条保存记录
2. 弹出版本对比弹窗
调度配置：左——B_4、B_6，右——C
3. 弹出确认弹窗
4. 开始执行回滚操作，结束后提示回滚成功，当前任务上游依赖被历史版本覆盖，生成一个新的版本号
同时任务A_4自动保存
业务流程新增一条版本记录，展示最新子任务依赖情况",2
业务流程内任务支持版本回滚,验证子任务上游依赖由普通任务修改为多个子任务，版本回滚正常,"此项目存在用户xiaoqi_1（项目管理员&访客&运维&数据开发）
存在业务流程A，包含子任务A_1-A_2（sql内容：select 1;）-A_3，C-A_4（存在输出参数：shuchu_1、常量、1）
存在业务流程B
存在普通任务D（存在输出参数：shuchu_1、常量、1）
存在普通任务C
任务均已提交","1. 进入业务流程A
修改A_4上游依赖为A_3、A_2
点击保存任务、保存业务流程
2. 进入任务A_4-基础属性-历史版本，点击最近的一个版本和当前版本，点击版本对比
3. 点击右下角回滚至此版本
4. 点击确认","1. 依赖修改成功 点击任务保存后，所属业务流程新增一条保存版本记录，所属任务新增一条保存记录 点击业务流程保存后，所属业务流程新增一条保存版本记录，下属所有任务新增一条保存记录
2. 弹出版本对比弹窗
调度配置：左——A_3、A_2，右——C
3. 弹出确认弹窗
4. 开始执行回滚操作，结束后提示回滚成功，当前任务上游依赖被历史版本覆盖，生成一个新的版本号
同时任务A_4自动保存
业务流程新增一条版本记录，展示最新子任务依赖情况",2
业务流程内任务支持版本回滚,验证子任务上游依赖由普通任务修改为空，版本回滚正常,"此项目存在用户xiaoqi_1（项目管理员&访客&运维&数据开发）
存在业务流程A，包含子任务A_1-A_2（sql内容：select 1;）-A_3，C-A_4（存在输出参数：shuchu_1、常量、1）
存在业务流程B
存在普通任务D（存在输出参数：shuchu_1、常量、1）
存在普通任务C
任务均已提交","1. 进入业务流程A
去除A_4上游依赖任务
点击保存任务、保存业务流程
2. 进入任务A_4-基础属性-历史版本，点击最近的一个版本和当前版本，点击版本对比
3. 点击右下角回滚至此版本
4. 点击确认","1. 依赖修改成功 点击任务保存后，所属业务流程新增一条保存版本记录，所属任务新增一条保存记录 点击业务流程保存后，所属业务流程新增一条保存版本记录，下属所有任务新增一条保存记录
2. 弹出版本对比弹窗
调度配置：左——空，右——C
3. 弹出确认弹窗
4. 开始执行回滚操作，结束后提示回滚成功，当前任务上游依赖被历史版本覆盖，生成一个新的版本号
同时任务A_4自动保存
业务流程新增一条版本记录，展示最新子任务依赖情况",2
业务流程内任务支持版本回滚,验证子任务上游依赖由普通任务修改为业务流程，版本回滚正常,"此项目存在用户xiaoqi_1（项目管理员&访客&运维&数据开发）
存在业务流程A，包含子任务A_1-A_2（sql内容：select 1;）-A_3，C-A_4（存在输出参数：shuchu_1、常量、1）
存在业务流程B
存在普通任务D（存在输出参数：shuchu_1、常量、1）
存在普通任务C
任务均已提交","1. 进入业务流程A
修改A_4上游依赖为业务流程B
点击保存任务、保存业务流程
2. 进入任务A_4-基础属性-历史版本，点击最近的一个版本和当前版本，点击版本对比
3. 点击右下角回滚至此版本
4. 点击确认","1. 依赖修改成功 点击任务保存后，所属业务流程新增一条保存版本记录，所属任务新增一条保存记录 点击业务流程保存后，所属业务流程新增一条保存版本记录，下属所有任务新增一条保存记录
2. 弹出版本对比弹窗
调度配置：左——B，右——C
3. 弹出确认弹窗
4. 开始执行回滚操作，结束后提示回滚成功，当前任务上游依赖被历史版本覆盖，生成一个新的版本号
同时任务A_4自动保存
业务流程新增一条版本记录，展示最新子任务依赖情况",2
业务流程内任务支持版本回滚,验证子任务上游依赖由普通任务修改为普通任务，版本回滚正常,"此项目存在用户xiaoqi_1（项目管理员&访客&运维&数据开发）
存在业务流程A，包含子任务A_1-A_2（sql内容：select 1;）-A_3，C-A_4（存在输出参数：shuchu_1、常量、1）
存在业务流程B
存在普通任务D（存在输出参数：shuchu_1、常量、1）
存在普通任务C
任务均已提交","1. 进入业务流程A
修改A_4上游依赖为D
点击保存任务、保存业务流程
2. 进入任务A_4-基础属性-历史版本，点击最近的一个版本和当前版本，点击版本对比
3. 点击右下角回滚至此版本
4. 点击确认","1. 依赖修改成功 点击任务保存后，所属业务流程新增一条保存版本记录，所属任务新增一条保存记录 点击业务流程保存后，所属业务流程新增一条保存版本记录，下属所有任务新增一条保存记录
2. 弹出版本对比弹窗
调度配置：左——D，右——C
3. 弹出确认弹窗
4. 开始执行回滚操作，结束后提示回滚成功，当前任务上游依赖被历史版本覆盖，生成一个新的版本号
同时任务A_4自动保存
业务流程新增一条版本记录，展示最新子任务依赖情况
子任务上游配置信息添加普通任务，画布不做修改",2
业务流程内任务支持版本回滚,验证子任务上游依赖由普通任务修改为子任务，版本回滚正常,"此项目存在用户xiaoqi_1（项目管理员&访客&运维&数据开发）
存在业务流程A，包含子任务A_1-A_2（sql内容：select 1;）-A_3，C-A_4（存在输出参数：shuchu_1、常量、1）
存在业务流程B
存在普通任务D（存在输出参数：shuchu_1、常量、1）
存在普通任务C
任务均已提交","1. 进入业务流程A
修改A_4上游依赖为A_2
点击保存任务、保存业务流程
2. 进入任务A_4-基础属性-历史版本，点击最近的一个版本和当前版本，点击版本对比
3. 点击右下角回滚至此版本
4. 点击确认","1. 依赖修改成功 点击任务保存后，所属业务流程新增一条保存版本记录，所属任务新增一条保存记录 点击业务流程保存后，所属业务流程新增一条保存版本记录，下属所有任务新增一条保存记录
2. 弹出版本对比弹窗
调度配置：左——A_2，右——C
3. 弹出确认弹窗
4. 开始执行回滚操作，结束后提示回滚成功，当前任务上游依赖被历史版本覆盖，生成一个新的版本号
同时任务A_4自动保存
业务流程新增一条版本记录，展示最新子任务依赖情况",1
业务流程内任务支持版本回滚,验证子任务上游依赖由其他业务流程子任务修改为其他业务流程内子任务，版本回滚正常,"此项目存在用户xiaoqi_1（项目管理员&访客&运维&数据开发）
存在业务流程A，包含子任务A_1-A_2（sql内容：select 1;）-A_3，B_2-A_4，A_5（存在输出参数：shuchu_1、常量、1）
存在业务流程B，包含子任务B_1-B_2······-B_15
存在普通任务D（存在输出参数：shuchu_1、常量、1）
存在普通任务C
任务均已提交","1. 进入业务流程A
修改A_4上游依赖为B_4
点击保存任务、保存业务流程
2. 进入任务A_4-基础属性-历史版本，点击最近的一个版本和当前版本，点击版本对比
3. 点击右下角回滚至此版本
4. 点击确认","1. 依赖修改成功 点击任务保存后，所属业务流程新增一条保存版本记录，所属任务新增一条保存记录 点击业务流程保存后，所属业务流程新增一条保存版本记录，下属所有任务新增一条保存记录
2. 弹出版本对比弹窗
调度配置：左——B_4，右——B_2
3. 弹出确认弹窗
4. 开始执行回滚操作，结束后提示回滚成功，当前任务上游依赖被历史版本覆盖，生成一个新的版本号
同时任务A_4自动保存
业务流程新增一条版本记录，展示最新子任务依赖情况",2
业务流程内任务支持版本回滚,验证子任务上游依赖由其他业务流程子任务修改为多个子任务，版本回滚正常,"此项目存在用户xiaoqi_1（项目管理员&访客&运维&数据开发）
存在业务流程A，包含子任务A_1-A_2（sql内容：select 1;）-A_3，B_2-A_4，A_5（存在输出参数：shuchu_1、常量、1）
存在业务流程B，包含子任务B_1-B_2······-B_15
存在普通任务D（存在输出参数：shuchu_1、常量、1）
存在普通任务C
任务均已提交","1. 进入业务流程A
修改A_4上游依赖为A_1、A_5
点击保存任务、保存业务流程
2. 进入任务A_4-基础属性-历史版本，点击最近的一个版本和当前版本，点击版本对比
3. 点击右下角回滚至此版本
4. 点击确认","1. 依赖修改成功 点击任务保存后，所属业务流程新增一条保存版本记录，所属任务新增一条保存记录 点击业务流程保存后，所属业务流程新增一条保存版本记录，下属所有任务新增一条保存记录
2. 弹出版本对比弹窗
调度配置：左——A_1、A_5，右——B_2
3. 弹出确认弹窗
4. 开始执行回滚操作，结束后提示回滚成功，当前任务上游依赖被历史版本覆盖，生成一个新的版本号
同时任务A_4自动保存
业务流程新增一条版本记录，展示最新子任务依赖情况",2
业务流程内任务支持版本回滚,验证子任务上游依赖由其他业务流程子任务修改为空，版本回滚正常,"此项目存在用户xiaoqi_1（项目管理员&访客&运维&数据开发）
存在业务流程A，包含子任务A_1-A_2（sql内容：select 1;）-A_3，B_2-A_4，A_5（存在输出参数：shuchu_1、常量、1）
存在业务流程B，包含子任务B_1-B_2······-B_15
存在普通任务D（存在输出参数：shuchu_1、常量、1）
存在普通任务C
任务均已提交","1. 进入业务流程A
去除A_4上游依赖任务
点击保存任务、保存业务流程
2. 进入任务A_4-基础属性-历史版本，点击最近的一个版本和当前版本，点击版本对比
3. 点击右下角回滚至此版本
4. 点击确认","1. 依赖修改成功 点击任务保存后，所属业务流程新增一条保存版本记录，所属任务新增一条保存记录 点击业务流程保存后，所属业务流程新增一条保存版本记录，下属所有任务新增一条保存记录
2. 弹出版本对比弹窗
调度配置：左——空，右——B_2
3. 弹出确认弹窗
4. 开始执行回滚操作，结束后提示回滚成功，当前任务生成一个新的版本号
同时任务A_4自动保存
业务流程新增一条版本记录，展示最新子任务依赖情况",2
业务流程内任务支持版本回滚,验证子任务上游依赖由其他业务流程子任务修改为业务流程，版本回滚正常,"此项目存在用户xiaoqi_1（项目管理员&访客&运维&数据开发）
存在业务流程A，包含子任务A_1-A_2（sql内容：select 1;）-A_3，B_2-A_4，A_5（存在输出参数：shuchu_1、常量、1）
存在业务流程B，包含子任务B_1-B_2······-B_15
存在普通任务D（存在输出参数：shuchu_1、常量、1）
存在普通任务C
任务均已提交","1. 进入业务流程A
修改A_4上游依赖为业务流程B
点击保存任务、保存业务流程
2. 进入任务A_4-基础属性-历史版本，点击最近的一个版本和当前版本，点击版本对比
3. 点击右下角回滚至此版本
4. 点击确认","1. 依赖修改成功 点击任务保存后，所属业务流程新增一条保存版本记录，所属任务新增一条保存记录 点击业务流程保存后，所属业务流程新增一条保存版本记录，下属所有任务新增一条保存记录
2. 弹出版本对比弹窗
调度配置：左——B，右——B_2
3. 弹出确认弹窗
4. 开始执行回滚操作，结束后提示回滚成功，当前任务上游依赖被历史版本覆盖，生成一个新的版本号
同时任务A_4自动保存
业务流程新增一条版本记录，展示最新子任务依赖情况",2
业务流程内任务支持版本回滚,验证子任务上游依赖由其他业务流程子任务修改为普通任务，版本回滚正常,"此项目存在用户xiaoqi_1（项目管理员&访客&运维&数据开发）
存在业务流程A，包含子任务A_1-A_2（sql内容：select 1;）-A_3，B_2-A_4，A_5（存在输出参数：shuchu_1、常量、1）
存在业务流程B，包含子任务B_1-B_2······-B_15
存在普通任务D（存在输出参数：shuchu_1、常量、1）
存在普通任务C
任务均已提交","1. 进入业务流程A
修改A_4上游依赖为D
点击保存任务、保存业务流程
2. 进入任务A_4-基础属性-历史版本，点击最近的一个版本和当前版本，点击版本对比
3. 点击右下角回滚至此版本
4. 点击确认","1. 依赖修改成功 点击任务保存后，所属业务流程新增一条保存版本记录，所属任务新增一条保存记录 点击业务流程保存后，所属业务流程新增一条保存版本记录，下属所有任务新增一条保存记录
2. 弹出版本对比弹窗
调度配置：左——D，右——B_2
3. 弹出确认弹窗
4. 开始执行回滚操作，结束后提示回滚成功，当前任务上游依赖被历史版本覆盖，生成一个新的版本号
同时任务A_4自动保存
业务流程新增一条版本记录，展示最新子任务依赖情况
子任务上游配置信息添加普通任务，画布不做修改",2
业务流程内任务支持版本回滚,验证子任务上游依赖由其他业务流程子任务修改为子任务，版本回滚正常,"此项目存在用户xiaoqi_1（项目管理员&访客&运维&数据开发）
存在业务流程A，包含子任务A_1-A_2（sql内容：select 1;）-A_3，B_2-A_4，A_5（存在输出参数：shuchu_1、常量、1）
存在业务流程B，包含子任务B_1-B_2······-B_15
存在普通任务D（存在输出参数：shuchu_1、常量、1）
存在普通任务C
任务均已提交","1. 进入业务流程A
修改A_4上游依赖为A_5
点击保存任务、保存业务流程
2. 进入任务A_4-基础属性-历史版本，点击最近的一个版本和当前版本，点击版本对比
3. 点击右下角回滚至此版本
4. 点击确认","1. 依赖修改成功 点击任务保存后，所属业务流程新增一条保存版本记录，所属任务新增一条保存记录 点击业务流程保存后，所属业务流程新增一条保存版本记录，下属所有任务新增一条保存记录
2. 弹出版本对比弹窗
调度配置：左——A_5，右——B_2
3. 弹出确认弹窗
4. 开始执行回滚操作，结束后提示回滚成功，当前任务上游依赖被历史版本覆盖，生成一个新的版本号
同时任务A_4自动保存
业务流程新增一条版本记录，展示最新子任务依赖情况",1
业务流程内任务支持版本回滚,验证子任务上游依赖由多个子任务修改为其他业务流程内子任务，版本回滚正常,"此项目存在用户xiaoqi_1（项目管理员&访客&运维&数据开发）
存在业务流程A，包含子任务A_1-A_2（sql内容：select 1;）-A_3，B_2-A_2，A_5（存在输出参数：shuchu_1、常量、1）
存在业务流程B，包含子任务B_1-B_2······-B_15
存在普通任务D（存在输出参数：shuchu_1、常量、1）
存在普通任务C
任务均已提交","1. 进入业务流程A
修改A_2上游依赖为B_6、B_4
点击保存任务、保存业务流程
2. 进入任务A_2-基础属性-历史版本，点击最近的一个版本和当前版本，点击版本对比
3. 点击右下角回滚至此版本
4. 点击确认","1. 依赖修改成功 点击任务保存后，所属业务流程新增一条保存版本记录，所属任务新增一条保存记录 点击业务流程保存后，所属业务流程新增一条保存版本记录，下属所有任务新增一条保存记录
2. 弹出版本对比弹窗
调度配置：左——B_6、B_4，右——B_2、A_1
3. 弹出确认弹窗
4. 开始执行回滚操作，结束后提示回滚成功，当前任务上游依赖被历史版本覆盖，生成一个新的版本号
同时任务A_2自动保存
业务流程新增一条版本记录，展示最新子任务依赖情况",2
